AL, B8, 2010083106, 03, BAMM, 144, 135N,  514W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM, 156, 134N,  543W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMM, 168, 133N,  575W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMS,  12, 107N,  299W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMS,  24, 111N,  320W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMS,  36, 117N,  342W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMS,  48, 120N,  362W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMS,  60, 124N,  379W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMS,  72, 124N,  395W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, BAMS,  84, 126N,  412W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
