AL, D5, 2010122018, 03, SHF5,  72,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHF5,  84,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHF5,  96,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHF5, 108,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHF5, 120,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHFR,  12,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHFR,  24,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHFR,  36,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHFR,  48,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHFR,  60,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHFR,  72,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHIP,   0, 116N,  551W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHIP,  12, 120N,  565W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHIP,  24, 125N,  582W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHIP,  36, 130N,  596W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHIP,  48, 136N,  609W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHIP,  60, 141N,  619W,  18,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHIP,  72, 148N,  625W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHIP,  84, 159N,  623W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHIP,  96, 176N,  607W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHIP, 108, 200N,  552W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, SHIP, 120, 222N,  454W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP,   0, 116N,  551W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP,  12, 123N,  573W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP,  24, 130N,  596W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP,  36, 137N,  619W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP,  48, 144N,  643W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP,  60, 151N,  666W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP,  72, 157N,  689W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP,  84, 164N,  713W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP,  96, 171N,  737W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP, 108, 178N,  760W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP, 120, 185N,  784W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP, 132, 192N,  808W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP, 144, 199N,  832W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP, 156, 206N,  856W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, XTRP, 168, 213N,  880W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, ZGFS,   0, 107N,  542W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122100, 01, CARQ, -24, 107N,  516W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, D5, 2010122100, 01, CARQ, -18, 109N,  528W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, D5, 2010122100, 01, CARQ, -12, 113N,  540W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 288,  11, 
AL, D5, 2010122100, 01, CARQ,  -6, 116N,  550W,  25,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, D5, 2010122100, 01, CARQ,   0, 119N,  560W,  25, 1008, LO,  34, NEQ,    0,    0,    0,    0, 1011,  150,  20,   0,   0,   L,   0,   X, 290,  10,     INVEST, M, 
AL, D5, 2010122100, 01, CARQ,   0, 119N,  560W,  25, 1008, LO,  50, NEQ,    0,    0,    0,    0, 1011,  150,  20,   0,   0,   L,   0,   X, 290,  10,     INVEST, M, 
AL, D5, 2010122100, 01, CARQ,   0, 119N,  560W,  25, 1008, LO,  64, NEQ,    0,    0,    0,    0, 1011,  150,  20,   0,   0,   L,   0,   X, 290,  10,     INVEST, M, 
AL, D5, 2010122100, 03,  EMX,   0, 106N,  562W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122100, 03,  EMX,  12, 105N,  598W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122100, 03,  NGX,   0, 110N,  566W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122100, 03,  UKX,   0, 112N,  562W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
