EP, A6, 2010071118, 03, LGEM,  48, 132N, 1011W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LGEM,  60, 135N, 1031W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LGEM,  72, 139N, 1053W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LGEM,  84, 142N, 1076W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LGEM,  96, 146N, 1101W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LGEM, 108, 148N, 1126W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, LGEM, 120, 149N, 1151W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, NGPS,   0, 109N,  935W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, NGPS,   6,  92N,  931W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, NGPS,  12,  99N,  931W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, NGPS,  18, 103N,  942W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, NGPS,  24, 107N,  951W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, NGPS,  30, 107N,  959W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, NGPS,  36, 107N,  962W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, NGPS,  42, 106N,  965W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, NGPS,  48, 108N,  965W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, NGPS,  54, 113N,  967W,  36, 1004, XX,  34, NEQ,    0,   74,    0,    0, 
EP, A6, 2010071118, 03, NGPS,  60, 117N,  971W,  37, 1006, XX,  34, NEQ,    0,   82,    0,    0, 
EP, A6, 2010071118, 03, NGPS,  66, 122N,  976W,  35, 1003, XX,  34, NEQ,    0,   82,    0,    0, 
EP, A6, 2010071118, 03, NGPS,  72, 125N,  985W,  36, 1004, XX,  34, NEQ,   73,   55,    0,    0, 
EP, A6, 2010071118, 03, NGPS,  78, 129N,  995W,  39, 1002, XX,  34, NEQ,  100,   66,   58,   80, 
EP, A6, 2010071118, 03, NGPS,  84, 130N, 1006W,  45, 1003, XX,  34, NEQ,   81,   85,   49,    0, 
