AL, C4, 2010091812, 03, AP02,  96, 171N,  389W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 102, 173N,  399W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 108, 177N,  409W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 114, 179N,  421W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 120, 178N,  432W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 126, 184N,  447W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 132, 189N,  458W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 138, 189N,  472W,  29, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 144, 190N,  488W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 150, 190N,  500W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 156, 192N,  512W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 162, 197N,  529W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 168, 200N,  540W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 174, 208N,  551W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 180, 210N,  561W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 186, 219N,  572W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 192, 224N,  581W,  31, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 198, 229N,  590W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 204, 235N,  597W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 210, 239N,  603W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 216, 239N,  614W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 222, 249N,  621W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 228, 250N,  629W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 234, 251N,  634W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP02, 240, 258N,  646W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP03,   0, 129N,  279W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
