EP, A0, 2010052518, 03, AP12,  90, 131N,  918W,  32, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12,  96, 140N,  910W,  32, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 102, 150N,  891W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 108, 156N,  885W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 114, 161N,  881W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 120, 169N,  872W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 126, 171N,  870W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 132, 178N,  869W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 138, 184N,  870W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 144, 191N,  870W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 150, 196N,  869W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 156, 200N,  871W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 162, 212N,  870W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 168, 219N,  870W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 174, 222N,  872W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 180, 231N,  871W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 186, 240N,  876W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 192, 253N,  875W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP12, 198, 260N,  869W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP13,   0, 107N,  876W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP13,   6, 107N,  884W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP13,  12, 106N,  882W,  31, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP13,  18, 110N,  880W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP13,  24, 119N,  878W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
