AL, A4, 2010062512, 03, AP07,  66, 273N,  643W,  12, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  72, 278N,  645W,  15, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  78, 283N,  653W,  14, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  84, 290N,  656W,  12, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  90, 300N,  667W,  11, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  96, 301N,  669W,  11, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,   0, 186N,  572W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,   6, 197N,  582W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  12, 207N,  589W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  18, 212N,  604W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  24, 218N,  610W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  30, 219N,  624W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  36, 221N,  633W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  42, 219N,  641W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  48, 223N,  657W,  13, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  54, 233N,  668W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  60, 238N,  668W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  66, 239N,  675W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  72, 250N,  682W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  78, 259N,  680W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP09,   0, 185N,  590W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP09,   6, 191N,  605W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP09,  12, 194N,  611W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP09,  18, 198N,  623W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP09,  24, 198N,  630W,  13, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP09,  30, 205N,  636W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP09,  36, 205N,  659W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,   0, 184N,  590W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,   6, 193N,  602W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  12, 196N,  608W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  18, 203N,  621W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  24, 212N,  619W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP10,  30, 229N,  627W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
