AL, C1, 2010080106, 03, AP16,  72, 179N,  541W,  32, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  78, 197N,  563W,  33, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  84, 208N,  591W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  90, 219N,  608W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16,  96, 222N,  627W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP16, 102, 230N,  650W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP17,   0,  96N,  356W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP18,   0,  98N,  366W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP18,   6,  93N,  370W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP18,  12,  98N,  366W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP18,  18,  99N,  360W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP18,  24, 116N,  344W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP18,  30, 120N,  361W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP18,  36, 122N,  387W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
