AL, B7, 2010082612, 03, SHIP,  84, 173N,  412W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHIP,  96, 186N,  451W,  70,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHIP, 108, 205N,  487W,  69,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHIP, 120, 230N,  520W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, XTRP,   0, 115N,  190W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, XTRP,  12, 117N,  214W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, XTRP,  24, 119N,  239W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, XTRP,  36, 121N,  264W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, XTRP,  48, 124N,  289W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, XTRP,  60, 126N,  314W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, XTRP,  72, 128N,  339W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, XTRP,  84, 130N,  364W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
