AL, E3, 2010080600, 03, AP03, 126, 268N,  587W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 132, 271N,  590W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 138, 279N,  587W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 144, 285N,  580W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 150, 292N,  577W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 156, 306N,  566W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 162, 313N,  558W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 168, 318N,  547W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 174, 320N,  539W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 180, 321N,  529W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 186, 328N,  521W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 192, 334N,  514W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 198, 337N,  509W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 204, 336N,  504W,  25, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 210, 340N,  494W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 216, 345N,  486W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 222, 353N,  480W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 228, 359N,  473W,  26, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 234, 362N,  463W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP03, 240, 363N,  453W,  25, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
