EP, 18, 2008080900, 03, AP03, 138, 113N, 1171W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03, 144, 114N, 1181W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03, 150, 117N, 1172W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP03, 156, 126N, 1158W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP05,   0, 121N, 1087W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP05,   6, 122N, 1087W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP05,  12, 132N, 1083W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP05,  18, 129N, 1093W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP05,  24, 131N, 1094W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP05,  30, 131N, 1100W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP05,  36, 132N, 1110W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP05,  42, 129N, 1116W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP06,   0, 119N, 1080W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP06,   6, 119N, 1089W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP06,  12, 128N, 1097W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP06,  18, 126N, 1105W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP06,  24, 125N, 1104W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP06,  30, 132N, 1107W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP06,  36, 130N, 1109W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP07,   0, 123N, 1086W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP07,   6, 122N, 1088W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AP07,  12, 125N, 1083W,  10, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
